"Num_Acc","an","mois","jour","hrmn","lum","agg","int","atm","col","com","adr","gps","lat","long","dep"
201600000001,16,2,1,1445,1,2,1,8,3,5,"46, rue Sonneville","M",0,"0",590
201600000002,16,3,16,1800,1,2,6,1,6,5,"1a rue du cimetière","M",0,"0",590
201600000003,16,7,13,1900,1,1,1,1,6,11,"","M",0,"0",590
201600000004,16,8,15,1930,2,2,1,7,3,477,"52 rue victor hugo","M",0,"0",590
201600000005,16,12,23,1100,1,2,3,1,3,11,"rue Joliot curie","M",0,"0",590
201600000006,16,12,23,1115,1,2,1,7,6,11,"Rue Jean-baptiste LEBAS","M",0,"0",590
201600000007,16,5,1,1145,1,2,1,7,2,51,"rue Jules FERRY","M",0,"0",590
201600000008,16,5,14,1915,2,1,1,1,1,250,"","M",0,"0",590
201600000009,16,9,23,1900,1,2,1,1,3,51,"rn41","M",0,"0",590
201600000010,16,12,30,1030,1,1,1,9,6,303,"","M",0,"0",590
201600000011,16,1,25,800,2,2,1,8,6,466,"141 rue nationale","M",0,"0",590
201600000012,16,1,28,1815,3,1,1,1,7,197,"","M",0,"0",590
201600000013,16,2,5,1600,1,2,1,1,6,466,"84 rue nationale","M",0,"0",590
201600000014,16,4,17,1230,1,2,1,1,5,398,"CD 917","M",0,"0",590
201600000015,16,8,17,1930,1,1,6,7,5,466,"","M",0,"0",590
201600000016,16,9,8,815,1,1,1,1,5,34,"","M",0,"0",590
201600000017,16,11,8,715,3,1,1,8,6,71,"","M",0,"0",590
201600000018,16,11,28,745,2,2,1,5,3,398,"RUE DE LA MOUSSERIE","M",0,"0",590
201600000019,16,5,6,1915,1,1,1,1,5,592,"","M",0,"0",590
201600000020,16,9,5,2030,5,2,6,2,3,452,"rue Emile Macquart","M",0,"0",590
201600000021,16,10,14,1145,1,2,1,1,6,592,"RD954 RUE EMILE ZOLA","M",0,"0",590
201600000022,16,4,2,1045,1,1,2,1,3,402,"Rte de Lederzeele","M",5084579,"226407",590
201600000023,16,11,7,1515,1,1,1,3,6,94,"","M",0,"0",590
201600000024,16,11,12,915,3,1,1,2,6,94,"","M",0,"0",590
201600000025,16,12,4,530,3,1,1,9,7,532,"","M",0,"0",590
201600000026,16,12,6,1145,1,2,1,7,6,94,"56 RUE PAUL MACHY","M",0,"0",590
201600000027,16,12,15,1345,1,2,1,1,6,94,"ave François Mitterrand","M",0,"0",590
201600000028,16,12,9,1900,3,1,1,1,3,576,"","M",0,"0",590
201600000029,16,12,28,2015,3,1,1,5,1,358,"","M",0,"0",590
201600000030,16,5,6,1700,1,2,1,1,6,337,"rue de l'église","M",0,"0",590
201600000031,16,9,28,2000,1,1,1,1,2,663,"","M",0,"0",590
201600000032,16,11,1,1115,1,1,1,1,2,338,"","M",0,"0",590
201600000033,16,1,7,900,1,2,3,3,6,120,"route d'Hazebrouck","M",0,"0",590
201600000034,16,1,14,1330,1,1,1,1,1,416,"","M",0,"0",590
201600000035,16,2,9,2145,5,1,1,2,6,416,"","M",0,"0",590
201600000036,16,2,8,1745,3,1,1,6,1,497,"","M",0,"0",590
201600000037,16,3,6,330,3,1,1,1,6,87,"","M",0,"0",590
201600000038,16,4,5,1545,1,1,1,1,3,590,"","M",0,"0",590
201600000039,16,5,12,2100,1,2,1,1,6,416,"1 DUR D'AIRE MORBECQUE","M",0,"0",590
