source,target,weight
ART,BIG DATA,16
ART,BUSINESS STRATEGY,19
ART,CLOUD COMPUTING,6
ART,COMPUTER PROGRAMMING,14
ART,DANCING,20
ART,DATA ANALYTICS,9
ART,DATA MINING,6
ART,DATA VISUALIZATION,11
ART,DINING OUT,31
ART,EDUCATION & TECHNOLOGY,20
ART,ENTREPRENEUR NETWORKING,3
ART,ENTREPRENEURSHIP,11
ART,FITNESS,19
ART,HADOOP,3
ART,HIKING,15
ART,HOUSTON,17
ART,INTELLECTUAL DISCUSSION,20
ART,INTERNET STARTUPS,6
ART,JAVASCRIPT,4
ART,LEAN STARTUP,5
ART,LIVE MUSIC,37
ART,MOBILE DEVELOPMENT,6
ART,MOBILE TECHNOLOGY,12
ART,MUSIC,26
ART,NEW TECHNOLOGY,32
ART,OPEN SOURCE,19
ART,OUTDOORS,30
ART,PREDICTIVE ANALYTICS,9
ART,PROFESSIONAL DEVELOPMENT,10
ART,PROFESSIONAL NETWORKING,8
ART,PYTHON,5
ART,SELF-IMPROVEMENT,15
ART,SOCIAL,16
ART,SOFTWARE DEVELOPMENT,11
ART,STARTUP BUSINESSES,21
ART,TECHNOLOGY,10
ART,TECHNOLOGY STARTUPS,7
ART,THEATER,24
ART,TRAVEL,26
ART,WATCHING MOVIES,22
ART,WEB DESIGN,11
ART,WEB DEVELOPMENT,11
ART,WEB TECHNOLOGY,14
BIG DATA,BUSINESS STRATEGY,21
BIG DATA,CLOUD COMPUTING,67
BIG DATA,COMPUTER PROGRAMMING,99
BIG DATA,DANCING,15
BIG DATA,DATA ANALYTICS,129
BIG DATA,DATA MINING,99
BIG DATA,DATA VISUALIZATION,123
BIG DATA,DINING OUT,27
BIG DATA,EDUCATION & TECHNOLOGY,22
BIG DATA,ENTREPRENEUR NETWORKING,37
BIG DATA,ENTREPRENEURSHIP,69
BIG DATA,FITNESS,40
BIG DATA,HADOOP,63
BIG DATA,HIKING,16
BIG DATA,HOUSTON,7
BIG DATA,INTELLECTUAL DISCUSSION,15
BIG DATA,INTERNET STARTUPS,42
BIG DATA,JAVASCRIPT,55
BIG DATA,LEAN STARTUP,32
BIG DATA,LIVE MUSIC,25
BIG DATA,MOBILE DEVELOPMENT,44
BIG DATA,MOBILE TECHNOLOGY,45
BIG DATA,MUSIC,10
BIG DATA,NEW TECHNOLOGY,112
BIG DATA,OPEN SOURCE,82
BIG DATA,OUTDOORS,30
BIG DATA,PREDICTIVE ANALYTICS,74
BIG DATA,PROFESSIONAL DEVELOPMENT,23
BIG DATA,PROFESSIONAL NETWORKING,21
BIG DATA,PYTHON,30
BIG DATA,SELF-IMPROVEMENT,14
BIG DATA,SOCIAL,13
BIG DATA,SOFTWARE DEVELOPMENT,94
BIG DATA,STARTUP BUSINESSES,87
BIG DATA,TECHNOLOGY,72
BIG DATA,TECHNOLOGY STARTUPS,35
BIG DATA,THEATER,15
BIG DATA,TRAVEL,38
BIG DATA,WATCHING MOVIES,18
BIG DATA,WEB DESIGN,56
BIG DATA,WEB DEVELOPMENT,79
BIG DATA,WEB TECHNOLOGY,27
BUSINESS STRATEGY,CLOUD COMPUTING,10
BUSINESS STRATEGY,COMPUTER PROGRAMMING,19
BUSINESS STRATEGY,DANCING,5
BUSINESS STRATEGY,DATA ANALYTICS,11
BUSINESS STRATEGY,DATA MINING,8
BUSINESS STRATEGY,DATA VISUALIZATION,12
BUSINESS STRATEGY,DINING OUT,24
BUSINESS STRATEGY,EDUCATION & TECHNOLOGY,30
BUSINESS STRATEGY,ENTREPRENEUR NETWORKING,12
BUSINESS STRATEGY,ENTREPRENEURSHIP,26
BUSINESS STRATEGY,FITNESS,14
BUSINESS STRATEGY,HADOOP,5
BUSINESS STRATEGY,HIKING,7
BUSINESS STRATEGY,HOUSTON,20
BUSINESS STRATEGY,INTELLECTUAL DISCUSSION,21
BUSINESS STRATEGY,INTERNET STARTUPS,14
BUSINESS STRATEGY,JAVASCRIPT,5
BUSINESS STRATEGY,LEAN STARTUP,6
BUSINESS STRATEGY,LIVE MUSIC,19
BUSINESS STRATEGY,MOBILE DEVELOPMENT,7
BUSINESS STRATEGY,MOBILE TECHNOLOGY,17
BUSINESS STRATEGY,MUSIC,11
BUSINESS STRATEGY,NEW TECHNOLOGY,33
BUSINESS STRATEGY,OPEN SOURCE,22
BUSINESS STRATEGY,OUTDOORS,22
BUSINESS STRATEGY,PREDICTIVE ANALYTICS,22
BUSINESS STRATEGY,PROFESSIONAL DEVELOPMENT,25
BUSINESS STRATEGY,PROFESSIONAL NETWORKING,19
BUSINESS STRATEGY,PYTHON,5
BUSINESS STRATEGY,SELF-IMPROVEMENT,13
BUSINESS STRATEGY,SOCIAL,8
BUSINESS STRATEGY,SOFTWARE DEVELOPMENT,18
BUSINESS STRATEGY,STARTUP BUSINESSES,39
BUSINESS STRATEGY,TECHNOLOGY,9
BUSINESS STRATEGY,TECHNOLOGY STARTUPS,17
BUSINESS STRATEGY,THEATER,12
BUSINESS STRATEGY,TRAVEL,17
BUSINESS STRATEGY,WATCHING MOVIES,9
BUSINESS STRATEGY,WEB DESIGN,18
BUSINESS STRATEGY,WEB DEVELOPMENT,13
BUSINESS STRATEGY,WEB TECHNOLOGY,24
CLOUD COMPUTING,COMPUTER PROGRAMMING,58
CLOUD COMPUTING,DANCING,4
CLOUD COMPUTING,DATA ANALYTICS,55
CLOUD COMPUTING,DATA MINING,46
CLOUD COMPUTING,DATA VISUALIZATION,52
CLOUD COMPUTING,DINING OUT,12
CLOUD COMPUTING,EDUCATION & TECHNOLOGY,10
CLOUD COMPUTING,ENTREPRENEUR NETWORKING,25
CLOUD COMPUTING,ENTREPRENEURSHIP,31
CLOUD COMPUTING,FITNESS,19
CLOUD COMPUTING,HADOOP,39
CLOUD COMPUTING,HIKING,9
CLOUD COMPUTING,INTELLECTUAL DISCUSSION,4
CLOUD COMPUTING,INTERNET STARTUPS,25
CLOUD COMPUTING,JAVASCRIPT,35
CLOUD COMPUTING,LEAN STARTUP,19
CLOUD COMPUTING,LIVE MUSIC,10
CLOUD COMPUTING,MOBILE DEVELOPMENT,30
CLOUD COMPUTING,MOBILE TECHNOLOGY,33
CLOUD COMPUTING,MUSIC,3
CLOUD COMPUTING,NEW TECHNOLOGY,58
CLOUD COMPUTING,OPEN SOURCE,47
CLOUD COMPUTING,OUTDOORS,9
CLOUD COMPUTING,PREDICTIVE ANALYTICS,28
