AccidentNumber,Category1,Category2
201600000001,Four-Wheeler,VL
201600000001,Four-Wheeler,Moped
201600000002,Four-Wheeler,VL
201600000003,Four-Wheeler,VL
201600000004,Four-Wheeler,VL
201600000005,Four-Wheeler,VL
201600000006,Four-Wheeler,VL
201600000007,Four-Wheeler,VL
201600000008,Four-Wheeler,VL
201600000008,Four-Wheeler,VL
201600000009,Four-Wheeler,VL
201600000010,Four-Wheeler,VL
201600000011,Four-Wheeler,VL
201600000013,Four-Wheeler,VL
201600000014,Four-Wheeler,VL
201600000015,Four-Wheeler,Bicycle
201600000015,Four-Wheeler,Bicycle
201600000015,Four-Wheeler,VL
201600000016,Four-Wheeler,VL
201600000016,Four-Wheeler,VL
201600000017,Four-Wheeler,VL
201600000018,Four-Wheeler,VL
201600000018,Four-Wheeler,VL
201600000019,Four-Wheeler,VL
201600000019,Four-Wheeler,VL
201600000020,Four-Wheeler,VL
201600000020,Four-Wheeler,VL
201600000022,Four-Wheeler,VU
201600000022,Four-Wheeler,VL
201600000023,Four-Wheeler,VL
201600000024,Four-Wheeler,VL
201600000025,Four-Wheeler,VL
201600000026,Four-Wheeler,VL
201600000027,Four-Wheeler,VL
201600000028,Four-Wheeler,VL
201600000028,Four-Wheeler,VL
201600000029,Four-Wheeler,VL
201600000029,Four-Wheeler,VL
201600000030,Four-Wheeler,VL
201600000032,Four-Wheeler,VL
201600000033,Four-Wheeler,VL
201600000035,Four-Wheeler,VL
201600000036,Four-Wheeler,VL
201600000036,Four-Wheeler,VU
201600000037,Four-Wheeler,VL
201600000038,Four-Wheeler,VL
201600000038,Four-Wheeler,VL
201600000040,Four-Wheeler,VL
201600000041,Four-Wheeler,VL
201600000042,Four-Wheeler,VU
201600000044,Four-Wheeler,VL
201600000045,Four-Wheeler,VL
201600000046,Four-Wheeler,VL
201600000050,Four-Wheeler,VL
201600000050,Four-Wheeler,VL
201600000051,Four-Wheeler,VL
201600000051,Four-Wheeler,VU
201600000052,Four-Wheeler,VL
201600000052,Four-Wheeler,Bicycle
201600000053,Four-Wheeler,VL
201600000054,Four-Wheeler,VL
201600000054,Four-Wheeler,VL
201600000057,Four-Wheeler,VU
201600000057,Four-Wheeler,VL
201600000058,Four-Wheeler,VL
201600000059,Four-Wheeler,VL
201600000060,Four-Wheeler,VL
201600000061,Four-Wheeler,VL
201600000062,Four-Wheeler,VL
201600000062,Four-Wheeler,Moped
201600000063,Four-Wheeler,VL
201600000063,Four-Wheeler,VL
201600000064,Four-Wheeler,VL
201600000065,Four-Wheeler,VL
201600000066,Four-Wheeler,VU
201600000067,Four-Wheeler,VL
201600000068,Four-Wheeler,VL
201600000069,Four-Wheeler,VL
201600000070,Four-Wheeler,VL
201600000070,Four-Wheeler,Bicycle
201600000071,Four-Wheeler,VL
201600000072,Four-Wheeler,Moped
201600000073,Four-Wheeler,VL
201600000074,Four-Wheeler,VL
201600000075,Four-Wheeler,VL
201600000075,Four-Wheeler,VL
201600000076,Four-Wheeler,VL
201600000076,Four-Wheeler,Bicycle
201600000078,Four-Wheeler,VL
201600000079,Four-Wheeler,VL
201600000080,Four-Wheeler,VL
201600000081,Four-Wheeler,VL
201600000082,Four-Wheeler,Moped
201600000082,Four-Wheeler,VL
201600000083,Four-Wheeler,Bicycle
201600000084,Four-Wheeler,VL
201600000084,Four-Wheeler,Bicycle
201600000085,Four-Wheeler,VL
201600000086,Four-Wheeler,VU
201600000087,Four-Wheeler,VL
201600000087,Four-Wheeler,VL
201600000088,Four-Wheeler,VL
201600000089,Four-Wheeler,VL
201600000089,Four-Wheeler,VL
201600000090,Four-Wheeler,VL
201600000092,Four-Wheeler,VL
201600000093,Four-Wheeler,VL
201600000095,Four-Wheeler,VL
201600000095,Four-Wheeler,VL
201600000096,Four-Wheeler,VL
201600000096,Four-Wheeler,VL
201600000097,Four-Wheeler,VL
201600000098,Four-Wheeler,VL
201600000099,Four-Wheeler,VL
201600000100,Four-Wheeler,VL
201600000101,Four-Wheeler,VL
201600000101,Four-Wheeler,VL
201600000101,Four-Wheeler,VL
201600000102,Four-Wheeler,VL
201600000103,Four-Wheeler,VL
201600000104,Four-Wheeler,VL
201600000104,Four-Wheeler,Moped
201600000105,Four-Wheeler,VL
