AccidentNumber,Category1,Category2
201600000001,Four-Wheeler,VL
201600000001,Four-Wheeler,Moped
201600000002,Four-Wheeler,VL
201600000003,Four-Wheeler,VL
201600000004,Four-Wheeler,VL
201600000005,Four-Wheeler,VL
201600000006,Four-Wheeler,VL
201600000007,Four-Wheeler,VL
201600000008,Four-Wheeler,VL
201600000008,Four-Wheeler,VL
201600000009,Four-Wheeler,VL
201300026639,Four-Wheeler,Moped
201300026640,Four-Wheeler,Moped
201300026640,Four-Wheeler,VL
201300026641,Four-Wheeler,VL
201300026641,Four-Wheeler,Moped
201300026642,Four-Wheeler,VL
201300026642,Four-Wheeler,VL
201300026643,Four-Wheeler,VL
201300026643,Four-Wheeler,VL
201300026644,Four-Wheeler,VL
201300026644,Four-Wheeler,VL
201300026645,Four-Wheeler,VL
201300026645,Four-Wheeler,VL
201300026646,Four-Wheeler,VL
201300026646,Four-Wheeler,VL
201300026647,Four-Wheeler,VL
201300026647,Four-Wheeler,VL
201300026648,Four-Wheeler,Moped
201300026649,Four-Wheeler,VL
201300026649,Four-Wheeler,VL
201300026650,Four-Wheeler,VL
201300026650,Four-Wheeler,VL
201300026652,Four-Wheeler,VL
201300026652,Four-Wheeler,VL
201300026653,Four-Wheeler,VU
201300026653,Four-Wheeler,Moped
201300026654,Four-Wheeler,VL
201300026654,Four-Wheeler,VL
201300026656,Four-Wheeler,VL
201300026657,Four-Wheeler,VL
201300026657,Four-Wheeler,VL
201300026658,Four-Wheeler,VL
201300026658,Four-Wheeler,Moped
201300026659,Four-Wheeler,VL
201300026659,Four-Wheeler,Bicycle
201300026660,Four-Wheeler,VL
201300026661,Four-Wheeler,VL
201300026662,Four-Wheeler,VL
201300026664,Four-Wheeler,VL
201300026664,Four-Wheeler,VL
201300026665,Four-Wheeler,VL
201300026665,Four-Wheeler,VL
201300026667,Four-Wheeler,Moped
201300026667,Four-Wheeler,VL
201300026668,Four-Wheeler,VL
201300026669,Four-Wheeler,Moped
201300026670,Four-Wheeler,VL
201300026670,Four-Wheeler,VL
201300026671,Four-Wheeler,VL
201300026671,Four-Wheeler,VL
201300026672,Four-Wheeler,Bicycle
201300026673,Four-Wheeler,VU
201300026674,Four-Wheeler,VL
201300026674,Four-Wheeler,VL
201300026675,Four-Wheeler,VL
201300026676,Four-Wheeler,Moped
201300026676,Four-Wheeler,VL
201300026677,Four-Wheeler,VL
201300026677,Four-Wheeler,VL
201300026678,Four-Wheeler,VL
201300026679,Four-Wheeler,VL
201300026680,Four-Wheeler,Bicycle
201300026680,Four-Wheeler,VL
201300026681,Four-Wheeler,VL
201300026681,Four-Wheeler,Moped
201300026682,Four-Wheeler,VL
201300026682,Four-Wheeler,VL
201300026683,Four-Wheeler,Moped
201300026683,Four-Wheeler,VL
201300026684,Four-Wheeler,Moped
201300026685,Four-Wheeler,VL
201300026685,Four-Wheeler,VL
201300026685,Four-Wheeler,Moped
201300026686,Four-Wheeler,VL
201300026686,Four-Wheeler,Moped
201300026687,Four-Wheeler,VL
201300026687,Four-Wheeler,VL
201300026688,Four-Wheeler,VL
201300026689,Four-Wheeler,Bicycle
201300026689,Four-Wheeler,VL
201300026690,Four-Wheeler,VL
201300026690,Four-Wheeler,Moped
201300026691,Four-Wheeler,VL
201300026691,Four-Wheeler,VL
201300026692,Four-Wheeler,Bicycle
201300026693,Four-Wheeler,Moped
201300026694,Four-Wheeler,VL
201300026694,Four-Wheeler,Bicycle
201300026695,Four-Wheeler,VL
201300026695,Four-Wheeler,Moped
201300026696,Four-Wheeler,VU
201300026696,Four-Wheeler,VL
201300026697,Four-Wheeler,VL
201300026697,Four-Wheeler,VL
201300026697,Four-Wheeler,VL
201300026698,Four-Wheeler,VL
201300026698,Four-Wheeler,Bicycle
201300026699,Four-Wheeler,VU
201300026700,Four-Wheeler,VL
201300026700,Four-Wheeler,VL
201300026700,Four-Wheeler,VL
201300026701,Four-Wheeler,VL
201300026702,Four-Wheeler,VL
201300026703,Four-Wheeler,VL
201300026703,Four-Wheeler,VU
201300026704,Four-Wheeler,VL
201300026705,Four-Wheeler,VL
201300026705,Four-Wheeler,Bicycle
201300026706,Four-Wheeler,Moped
201300026706,Four-Wheeler,VL
201300026707,Four-Wheeler,VL
201300026707,Four-Wheeler,VL
201300026708,Four-Wheeler,Moped
201300026708,Four-Wheeler,VL
